,Accession,Kinase_name,Gene_symbol,Gene_family,Cell_Location,Protein_longname and Alternative_names
82,Q8IW41,MAPK5_HUMAN,MAPKAPK5 PRAK,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family",Nucleus Cytoplasm,MAP kinase-activated protein kinase 5 (MAPK-activated protein kinase 5) (MAPKAP kinase 5) (MAPKAP-K5) (MAPKAPK-5) (MK-5) (MK5)  (p38-regulated/activated protein kinase) (PRAK)
83,Q9P0L2,MARK1_HUMAN,MARK1 KIAA1477 MARK,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily","Cell membrane Peripheral membrane protein Cytoplasm, cytoskeleton Cytoplasm Cell projection, dendrite",Serine/threonine-protein kinase MARK1   (MAP/microtubule affinity-regulating kinase 1) (PAR1 homolog c) (Par-1c) (Par1c)
84,Q7KZI7,MARK2_HUMAN,MARK2 EMK1,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily","Cell membrane; Peripheral membrane protein. Cytoplasm. Lateral cell membrane. Cytoplasm, cytoskeleton. Cell projection, dendrite Cytoplasm",Serine/threonine-protein kinase MARK2   (ELKL motif kinase 1) (EMK-1) (MAP/microtubule affinity-regulating kinase 2) (PAR1 homolog) (PAR1 homolog b) (Par-1b) (Par1b)
85,P27448,MARK3_HUMAN,MARK3 CTAK1 EMK2,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily","Cell membrane Peripheral membrane protein Cell projection, dendrite Cytoplasm",MAP/microtubule affinity-regulating kinase 3  (C-TAK1) (cTAK1) (Cdc25C-associated protein kinase 1) (ELKL motif kinase 2) (EMK-2) (Protein kinase STK10) (Ser/Thr protein kinase PAR-1) (Par-1a) (Serine/threonine-protein kinase p78)
86,Q96L34,MARK4_HUMAN,MARK4 KIAA1860 MARKL1,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily","Cytoplasm, cytoskeleton, microtubule organizing center, centrosome Cytoplasm, cytoskeleton, microtubule organizing center Cytoplasm, cytoskeleton, cilium basal body Cytoplasm, cytoskeleton, cilium axoneme Cytoplasm Cell projection, dendrite",MAP/microtubule affinity-regulating kinase 4  (MAP/microtubule affinity-regulating kinase-like 1)
87,Q14680,MELK_HUMAN,MELK KIAA0175,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily",Cell membrane Peripheral membrane protein,Maternal embryonic leucine zipper kinase (hMELK)  (Protein kinase Eg3) (pEg3 kinase) (Protein kinase PK38) (hPK38) (Tyrosine-protein kinase MELK) 
88,Q9BUB5,MKNK1_HUMAN,MKNK1 MNK1,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family",Cell membrane Peripheral membrane protein,MAP kinase-interacting serine/threonine-protein kinase 1  (MAP kinase signal-integrating kinase 1) (MAPK signal-integrating kinase 1) (Mnk1)
89,Q9HBH9,MKNK2_HUMAN,MKNK2 GPRK7 MNK2,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family",Cell membrane Peripheral membrane protein,MAP kinase-interacting serine/threonine-protein kinase 2  (MAP kinase signal-integrating kinase 2) (MAPK signal-integrating kinase 2) (Mnk2)
90,Q15746,MYLK_HUMAN,MYLK MLCK MLCK1 MYLK1,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family","Cytoplasm Cell projection, lamellipodium Cleavage furrow Cytoplasm, cytoskeleton, stress fiber","Myosin light chain kinase, smooth muscle (MLCK) (smMLCK) (Kinase-related protein) (KRP) (Telokin) [Cleaved into: Myosin light chain kinase, smooth muscle, deglutamylated form]"
91,Q9H1R3,MYLK2_HUMAN,MYLK2,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family","Cytoplasm Cell projection, lamellipodium Cleavage furrow Cytoplasm, cytoskeleton, stress fiber","Myosin light chain kinase 2, skeletal/cardiac muscle (MLCK2)"
92,Q32MK0,MYLK3_HUMAN,MYLK3 MLCK,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family",Cytoplasm,Myosin light chain kinase 3 (Cardiac-MyBP-C-associated Ca/CaM kinase) (Cardiac-MLCK)
93,Q86YV6,MYLK4_HUMAN,MYLK4 SGK085,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family",Cytoplasm,Myosin light chain kinase family member 4  (Sugen kinase 85) (SgK085)
94,Q8IY84,NIM1_HUMAN,NIM1K NIM1,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family",Cytoplasm,Serine/threonine-protein kinase NIM1  (NIM1 serine/threonine-protein kinase)
95,O60285,NUAK1_HUMAN,NUAK1 ARK5 KIAA0537 OMPHK1,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily",Nucleus Cytoplasm,NUAK family SNF1-like kinase 1  (AMPK-related protein kinase 5) (ARK5) (Omphalocele kinase 1)
96,Q9H093,NUAK2_HUMAN,NUAK2 OMPHK2 SNARK,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily",Nucleus Cytoplasm,NUAK family SNF1-like kinase 2  (Omphalocele kinase 2) (SNF1/AMP kinase-related kinase) (SNARK)
97,Q5VST9,OBSCN_HUMAN,OBSCN KIAA1556 KIAA1639,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family","Cytoplasm, myofibril, sarcomere, M line Cytoplasm, myofibril, sarcomere, Z line",Obscurin  (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)
98,Q96RG2,PASK_HUMAN,PASK KIAA0135,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family",Cytoplasm Nucleus,PAS domain-containing serine/threonine-protein kinase (PAS-kinase) (PASKIN) (hPASK) 
99,Q16816,PHKG1_HUMAN,PHKG1 PHKG,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family",Cytoplasm Nucleus,"Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform (PHK-gamma-M) (Phosphorylase kinase subunit gamma-1) (Serine/threonine-protein kinase PHKG1)  "
100,P15735,PHKG2_HUMAN,PHKG2,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family",Cytoplasm Nucleus,"Phosphorylase b kinase gamma catalytic chain, liver/testis isoform (PHK-gamma-LT) (PHK-gamma-T)  (PSK-C3) (Phosphorylase kinase subunit gamma-2)"
101,P11309,PIM1_HUMAN,PIM1,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, PIM subfamily",Cytoplasm Nucleus,Serine/threonine-protein kinase pim-1 
102,Q9P1W9,PIM2_HUMAN,PIM2,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, PIM subfamily",Cytoplasm Nucleus,Serine/threonine-protein kinase pim-2  (Pim-2h)
103,Q86V86,PIM3_HUMAN,PIM3,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, PIM subfamily",Cytoplasm,Serine/threonine-protein kinase pim-3 
104,Q6P2M8,KCC1B_HUMAN,PNCK,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily",Cytoplasm Nucleus,Calcium/calmodulin-dependent protein kinase type 1B  (CaM kinase I beta) (CaM kinase IB) (CaM-KI beta) (CaMKI-beta) (Pregnancy up-regulated non-ubiquitously-expressed CaM kinase)
105,Q13131,AAPK1_HUMAN,PRKAA1 AMPK1,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily",Cytoplasm Nucleus,5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPK subunit alpha-1)  (Acetyl-CoA carboxylase kinase) (ACACA kinase) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase)  (Tau-protein kinase PRKAA1) 
106,P54646,AAPK2_HUMAN,PRKAA2 AMPK AMPK2,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily",Cytoplasm Nucleus,5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2)  (Acetyl-CoA carboxylase kinase) (ACACA kinase)  (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) 
107,Q15139,KPCD1_HUMAN,PRKD1 PKD PKD1 PRKCM,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, PKD subfamily","Cytoplasm Cell membrane Golgi apparatus, trans-Golgi network",Serine/threonine-protein kinase D1  (Protein kinase C mu type) (Protein kinase D) (nPKC-D1) (nPKC-mu)
108,Q9BZL6,KPCD2_HUMAN,PRKD2 PKD2 HSPC187,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, PKD subfamily","Cytoplasm Cell membrane Nucleus Golgi apparatus, trans-Golgi network",Serine/threonine-protein kinase D2  (nPKC-D2)
109,O94806,KPCD3_HUMAN,PRKD3 EPK2 PRKCN,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, PKD subfamily",Cytoplasm Membrane,Serine/threonine-protein kinase D3  (Protein kinase C nu type) (Protein kinase EPK2) (nPKC-nu)
110,P11801,KPSH1_HUMAN,PSKH1,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family",Cytoplasm Membrane,Serine/threonine-protein kinase H1  (Protein serine kinase H1) (PSK-H1)
111,Q96QS6,KPSH2_HUMAN,PSKH2,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family",Cytoplasm Membrane,Serine/threonine-protein kinase H2  (Protein serine kinase H2) (PSK-H2)
112,P57059,SIK1_HUMAN,SIK1 SIK SNF1LK,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, AMPK subfamily",Cytoplasm Nucleus,Serine/threonine-protein kinase SIK1  (Salt-inducible kinase 1) (SIK-1) (Serine/threonine-protein kinase SNF1-like kinase 1) (Serine/threonine-protein kinase SNF1LK)
113,Q9H0K1,SIK2_HUMAN,SIK2 KIAA0781 QIK SNF1LK2,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily",Cytoplasm,Serine/threonine-protein kinase SIK2  (Qin-induced kinase) (Salt-inducible kinase 2) (SIK-2) (Serine/threonine-protein kinase SNF1-like kinase 2)
114,Q9Y2K2,SIK3_HUMAN,SIK3 KIAA0999 QSK L19,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily",Cytoplasm,Serine/threonine-protein kinase SIK3  (Salt-inducible kinase 3) (SIK-3) (Serine/threonine-protein kinase QSK)
115,Q9NRH2,SNRK_HUMAN,SNRK KIAA0096 SNFRK,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family",Nucleus,SNF-related serine/threonine-protein kinase  (SNF1-related kinase)
116,Q15772,SPEG_HUMAN,SPEG APEG1 KIAA1297,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family",Nucleus,Striated muscle preferentially expressed protein kinase  (Aortic preferentially expressed protein 1) (APEG-1)
117,Q15831,STK11_HUMAN,STK11 LKB1 PJS,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, LKB1 subfamily",Nucleus. Cytoplasm. Membrane Mitochondrion.,Serine/threonine-protein kinase STK11  (Liver kinase B1) (LKB1) (hLKB1) (Renal carcinoma antigen NY-REN-19)
118,Q9UEE5,ST17A_HUMAN,STK17A DRAK1,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, DAP kinase subfamily",Nucleus,Serine/threonine-protein kinase 17A  (DAP kinase-related apoptosis-inducing protein kinase 1)
119,O94768,ST17B_HUMAN,STK17B DRAK2,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, DAP kinase subfamily",Nucleus Cell membrane Endoplasmic reticulum-Golgi intermediate compartment,Serine/threonine-protein kinase 17B  (DAP kinase-related apoptosis-inducing protein kinase 2)
120,Q9BYT3,STK33_HUMAN,STK33,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily","Cytoplasm, perinuclear region",Serine/threonine-protein kinase 33 
121,Q8N2I9,STK40_HUMAN,STK40 SGK495 SHIK,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family",Nucleus Cytoplasm,Serine/threonine-protein kinase 40  (SINK-homologous serine/threonine-protein kinase) (Sugen kinase 495) (SgK495)
122,Q96RU8,TRIB1_HUMAN,TRIB1 C8FW GIG2 TRB1,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, Tribbles subfamily",Nucleus Cytoplasm,Tribbles homolog 1 (TRB-1) (G-protein-coupled receptor-induced gene 2 protein) (GIG-2) (SKIP1)
123,Q92519,TRIB2_HUMAN,TRIB2 TRB2,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, Tribbles subfamily","Cytoplasm Cytoplasm, cytoskeleton",Tribbles homolog 2 (TRB-2)
124,Q96RU7,TRIB3_HUMAN,TRIB3 C20orf97 NIPK SKIP3 TRB3,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, Tribbles subfamily",Nucleus,Tribbles homolog 3 (TRB-3) (Neuronal cell death-inducible putative kinase) (SINK) (p65-interacting inhibitor of NF-kappa-B)
125,O75962,TRIO_HUMAN,TRIO,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family",Cytoplasm,Triple functional domain protein  (PTPRF-interacting protein)
126,Q9BXA7,TSSK1_HUMAN,TSSK1B SPOGA1 SPOGA4 STK22A STK22D TSSK1 FKSG81,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family","Cytoplasm Cytoplasmic vesicle, secretory vesicle, acrosome Cell projection, cilium, flagellum",Testis-specific serine/threonine-protein kinase 1 (TSK-1) (TSK1) (TSSK-1) (Testis-specific kinase 1)  (Serine/threonine-protein kinase 22A)
127,Q96PF2,TSSK2_HUMAN,TSSK2 DGSG SPOGA2 STK22B,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family","Cytoplasm Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole",Testis-specific serine/threonine-protein kinase 2 (TSK-2) (TSK2) (TSSK-2) (Testis-specific kinase 2)  (DiGeorge syndrome protein G) (DGS-G) (Serine/threonine-protein kinase 22B)
128,Q96PN8,TSSK3_HUMAN,TSSK3 SPOGA3 STK22C,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family","Cytoplasm Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole",Testis-specific serine/threonine-protein kinase 3 (TSK-3) (TSSK-3) (Testis-specific kinase 3)  (Serine/threonine-protein kinase 22C)
129,Q6SA08,TSSK4_HUMAN,TSSK4 C14orf20 STK22E TSSK5,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family","Cytoplasmic vesicle, secretory vesicle, acrosome Cell projection, cilium, flagellum",Testis-specific serine/threonine-protein kinase 4 (TSK-4) (TSSK-4) (Testis-specific kinase 4)  (Serine/threonine-protein kinase 22E)
130,Q9BXA6,TSSK6_HUMAN,TSSK6 SSTK FKSG82,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family","Cytoplasmic vesicle, secretory vesicle, acrosome Cell projection, cilium, flagellum",Testis-specific serine/threonine-protein kinase 6 (TSK-6) (TSSK-6) (Testis-specific kinase 6)  (Cancer/testis antigen 72) (CT72) (Serine/threonine-protein kinase SSTK) (Small serine/threonine kinase)
131,Q8WZ42,TITIN_HUMAN,TTN,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family",Cytoplasm Nucleus,Titin  (Connectin) (Rhabdomyosarcoma antigen MU-RMS-40.14)
132,P48729,KC1A_HUMAN,CSNK1A1,"Protein kinase superfamily, CK1 Ser/Thr protein kinase family, Casein kinase I subfamily","Cytoplasm Cytoplasm, cytoskeleton, microtubule organizing center, centrosome Chromosome, centromere, kinetochore Nucleus speckle Cytoplasm, cytoskeleton, cilium basal body",Casein kinase I isoform alpha (CKI-alpha)  (CK1)
133,Q8N752,KC1AL_HUMAN,CSNK1A1L,"Protein kinase superfamily, CK1 Ser/Thr protein kinase family, Casein kinase I subfamily",Cytoplasm,Casein kinase I isoform alpha-like (CKI-alpha-like)  (CK1)
134,P48730,KC1D_HUMAN,CSNK1D HCKID,"Protein kinase superfamily, CK1 Ser/Thr protein kinase family, Casein kinase I subfamily","Cytoplasm. Nucleus. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome Cytoplasm, perinuclear region. Cell membrane. Cytoplasm, cytoskeleton, spindle. Golgi apparatus.",Casein kinase I isoform delta (CKI-delta) (CKId)  (Tau-protein kinase CSNK1D) 
135,P49674,KC1E_HUMAN,CSNK1E,"Protein kinase superfamily, CK1 Ser/Thr protein kinase family, Casein kinase I subfamily",Cytoplasm Nucleus,Casein kinase I isoform epsilon (CKI-epsilon) (CKIe) 
136,Q9HCP0,KC1G1_HUMAN,CSNK1G1,"Protein kinase superfamily, CK1 Ser/Thr protein kinase family, Casein kinase I subfamily",Cytoplasm Nucleus,Casein kinase I isoform gamma-1 (CKI-gamma 1) 
137,P78368,KC1G2_HUMAN,CSNK1G2 CK1G2,"Protein kinase superfamily, CK1 Ser/Thr protein kinase family, Casein kinase I subfamily",Cytoplasm,Casein kinase I isoform gamma-2 (CKI-gamma 2) 
138,Q9Y6M4,KC1G3_HUMAN,CSNK1G3,"Protein kinase superfamily, CK1 Ser/Thr protein kinase family, Casein kinase I subfamily",Cytoplasm,Casein kinase I isoform gamma-3 (CKI-gamma 3) 
139,Q5TCY1,TTBK1_HUMAN,TTBK1 BDTK KIAA1855,"Protein kinase superfamily, CK1 Ser/Thr protein kinase family",Cytoplasm,Tau-tubulin kinase 1  (Brain-derived tau kinase)
140,Q6IQ55,TTBK2_HUMAN,TTBK2 KIAA0847,"Protein kinase superfamily, CK1 Ser/Thr protein kinase family","Cell projection, cilium Cytoplasm, cytoskeleton, cilium basal body Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole. Cytoplasm, cytosol. Nucleus.",Tau-tubulin kinase 2 
141,Q99986,VRK1_HUMAN,VRK1,"Protein kinase superfamily, CK1 Ser/Thr protein kinase family, VRK subfamily","Cytoplasm. Nucleus. Cytoplasm, cytoskeleton, spindle",Serine/threonine-protein kinase VRK1  (Vaccinia-related kinase 1)
142,Q86Y07,VRK2_HUMAN,VRK2,"Protein kinase superfamily, CK1 Ser/Thr protein kinase family, VRK subfamily",Isoform 1: Cytoplasm. Endoplasmic reticulum membrane Single-pass type IV membrane protein Mitochondrion membrane Single-pass type IV membrane protein,Serine/threonine-protein kinase VRK2  (Vaccinia-related kinase 2)
143,Q8IV63,VRK3_HUMAN,VRK3,"Protein kinase superfamily, CK1 Ser/Thr protein kinase family, VRK subfamily",Nucleus,Inactive serine/threonine-protein kinase VRK3 (Serine/threonine-protein pseudokinase VRK3) (Vaccinia-related kinase 3)
144,P06493,CDK1_HUMAN,CDK1 CDC2 CDC28A CDKN1 P34CDC2,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily","Nucleus. Cytoplasm. Mitochondrion. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome Cytoplasm, cytoskeleton, spindle.",Cyclin-dependent kinase 1 (CDK1)   (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase)
145,O14519,CDKA1_HUMAN,CDK2AP1 CDKAP1 DOC1,CDK2AP family,"Nucleus. Cytoplasm. Mitochondrion. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome Cytoplasm, cytoskeleton, spindle.",Cyclin-dependent kinase 2-associated protein 1 (CDK2-associated protein 1) (Deleted in oral cancer 1) (DOC-1) (Putative oral cancer suppressor)
146,Q15131,CDK10_HUMAN,CDK10,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily","Cytoplasm, cytoskeleton, cilium basal body",Cyclin-dependent kinase 10  (Cell division protein kinase 10) (Serine/threonine-protein kinase PISSLRE)
147,Q9UQ88,CD11A_HUMAN,CDK11A CDC2L2 CDC2L3 PITSLREB,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily","Cytoplasm, cytoskeleton, cilium basal body",Cyclin-dependent kinase 11A  (Cell division cycle 2-like protein kinase 2) (Cell division protein kinase 11A) (Galactosyltransferase-associated protein kinase p58/GTA) (PITSLRE serine/threonine-protein kinase CDC2L2)
148,P21127,CD11B_HUMAN,CDK11B CDC2L1 CDK11 PITSLREA PK58,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily","Cytoplasm, cytoskeleton, cilium basal body",Cyclin-dependent kinase 11B  (Cell division cycle 2-like protein kinase 1) (CLK-1) (Cell division protein kinase 11B) (Galactosyltransferase-associated protein kinase p58/GTA) (PITSLRE serine/threonine-protein kinase CDC2L1) (p58 CLK-1)
149,Q9NYV4,CDK12_HUMAN,CDK12 CRK7 CRKRS KIAA0904,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily","Cytoplasm, cytoskeleton, cilium basal body","Cyclin-dependent kinase 12   (Cdc2-related kinase, arginine/serine-rich) (CrkRS) (Cell division cycle 2-related protein kinase 7) (CDC2-related protein kinase 7) (Cell division protein kinase 12) (hCDK12)"
150,Q14004,CDK13_HUMAN,CDK13 CDC2L CDC2L5 CHED KIAA1791,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",Nucleus speckle,Cyclin-dependent kinase 13   (CDC2-related protein kinase 5) (Cell division cycle 2-like protein kinase 5) (Cell division protein kinase 13) (hCDK13) (Cholinesterase-related cell division controller)
151,O94921,CDK14_HUMAN,CDK14 KIAA0834 PFTK1,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",Nucleus speckle,Cyclin-dependent kinase 14  (Cell division protein kinase 14) (Serine/threonine-protein kinase PFTAIRE-1) (hPFTAIRE1)
152,Q96Q40,CDK15_HUMAN,CDK15 ALS2CR7 PFTK2,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",Nucleus speckle,Cyclin-dependent kinase 15  (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 7 protein) (Cell division protein kinase 15) (Serine/threonine-protein kinase ALS2CR7) (Serine/threonine-protein kinase PFTAIRE-2)
153,Q00536,CDK16_HUMAN,CDK16 PCTAIRE1 PCTK1,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily","Cytoplasm. Cytoplasmic vesicle, secretory vesicle. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell junction, synapse, synaptosome",Cyclin-dependent kinase 16  (Cell division protein kinase 16) (PCTAIRE-motif protein kinase 1) (Serine/threonine-protein kinase PCTAIRE-1)
154,Q00537,CDK17_HUMAN,CDK17 PCTAIRE2 PCTK2,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily","Cytoplasm. Cytoplasmic vesicle, secretory vesicle. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell junction, synapse, synaptosome",Cyclin-dependent kinase 17  (Cell division protein kinase 17) (PCTAIRE-motif protein kinase 2) (Serine/threonine-protein kinase PCTAIRE-2)
155,Q07002,CDK18_HUMAN,CDK18 PCTAIRE3 PCTK3,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily","Cytoplasm. Cytoplasmic vesicle, secretory vesicle. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell junction, synapse, synaptosome",Cyclin-dependent kinase 18  (Cell division protein kinase 18) (PCTAIRE-motif protein kinase 3) (Serine/threonine-protein kinase PCTAIRE-3)
156,Q9BWU1,CDK19_HUMAN,CDK19 CDC2L6 CDK11 KIAA1028,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily","Cytoplasm. Cytoplasmic vesicle, secretory vesicle. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell junction, synapse, synaptosome",Cyclin-dependent kinase 19  (CDC2-related protein kinase 6) (Cell division cycle 2-like protein kinase 6) (Cell division protein kinase 19) (Cyclin-dependent kinase 11) (Death-preventing kinase)
157,P24941,CDK2_HUMAN,CDK2 CDKN2,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily","Cytoplasm. Cytoplasmic vesicle, secretory vesicle. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell junction, synapse, synaptosome",Cyclin-dependent kinase 2  (Cell division protein kinase 2) (p33 protein kinase)
158,Q8IZL9,CDK20_HUMAN,CDK20 CCRK CDCH,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily","Nucleus Cytoplasm Cell projection, cilium",Cyclin-dependent kinase 20  (CDK-activating kinase p42) (CAK-kinase p42) (Cell cycle-related kinase) (Cell division protein kinase 20) (Cyclin-dependent protein kinase H) (Cyclin-kinase-activating kinase p42)
159,Q00526,CDK3_HUMAN,CDK3 CDKN3,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily","Nucleus Cytoplasm Cell projection, cilium",Cyclin-dependent kinase 3  (Cell division protein kinase 3)
160,P11802,CDK4_HUMAN,CDK4,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily","Nucleus Cytoplasm Cell projection, cilium",Cyclin-dependent kinase 4  (Cell division protein kinase 4) (PSK-J3)
161,Q00535,CDK5_HUMAN,CDK5 CDKN5,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily","Isoform 1: Cytoplasm. Cell membrane; Peripheral membrane protein. Perikaryon. Cell projection, lamellipodium Cell projection, growth cone Cell junction, synapse, postsynaptic cell membrane, postsynaptic density",Cyclin-dependent-like kinase 5  (Cell division protein kinase 5) (Serine/threonine-protein kinase PSSALRE) (Tau protein kinase II catalytic subunit) (TPKII catalytic subunit)
162,Q00534,CDK6_HUMAN,CDK6 CDKN6,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily","Cytoplasm. Nucleus. Cell projection, ruffle. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome",Cyclin-dependent kinase 6  (Cell division protein kinase 6) (Serine/threonine-protein kinase PLSTIRE)
163,P50613,CDK7_HUMAN,CDK7 CAK CAK1 CDKN7 MO15 STK1,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily","Cytoplasm. Nucleus. Cell projection, ruffle. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome",Cyclin-dependent kinase 7   (39 kDa protein kinase) (p39 Mo15) (CDK-activating kinase 1) (Cell division protein kinase 7) (Serine/threonine-protein kinase 1) (TFIIH basal transcription factor complex kinase subunit)
164,P49336,CDK8_HUMAN,CDK8,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",Nucleus,Cyclin-dependent kinase 8   (Cell division protein kinase 8) (Mediator complex subunit CDK8) (Mediator of RNA polymerase II transcription subunit CDK8) (Protein kinase K35)
165,P50750,CDK9_HUMAN,CDK9 CDC2L4 TAK,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",Nucleus,Cyclin-dependent kinase 9   (C-2K) (Cell division cycle 2-like protein kinase 4) (Cell division protein kinase 9) (Serine/threonine-protein kinase PITALRE) (Tat-associated kinase complex catalytic subunit)
166,Q00532,CDKL1_HUMAN,CDKL1,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",Cytoplasm Nucleus,Cyclin-dependent kinase-like 1  (Protein kinase p42 KKIALRE) (Serine/threonine-protein kinase KKIALRE)
167,Q92772,CDKL2_HUMAN,CDKL2,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",Cytoplasm Nucleus,Cyclin-dependent kinase-like 2  (Protein kinase p56 KKIAMRE) (Serine/threonine-protein kinase KKIAMRE)
